139,Fantastic Beasts The Crimes of Grindelwald,654.9,2018
424,Fantastic Four,333.5,2005
369,Fast & Furious,360.4,2009
96,Fast & Furious 6,788.7,2013
102,Fast & Furious Presents Hobbs & Shaw,759.1,2019
149,Fast Five,626.1,2011
451,Fatal Attraction,320.1,1987
510,Ferdinand,296.1,2017
327,Fifty Shades Darker,381.5,2017
344,Fifty Shades Freed,372.0,2018
174,Fifty Shades of Grey,569.7,2015
41,Finding Dory,1028.6,2016
58,Finding Nemo,940.3,2003
712,Flightplan,223.4,2005
936,Flubber,178.0,1997
931,Flushed Away,178.3,2006
705,Ford v Ferrari,225.5,2019
129,Forrest Gump,678.3,1994
629,Four Weddings and a Funeral,245.7,1994
908,From Vegas to Macau III,181.7,2016
16,Frozen,1280.8,2013
10,Frozen II,1450.0,2019
798,Fun with Dick and Jane,204.7,2005
9,Furious 7,1515.0,2015
769,Fury,211.8,2014
333,G.I. Joe Retaliation,375.7,2013
489,G.I. Joe The Rise of Cobra,302.5,2009
850,Gangs of New York,193.8,2002
809,Garfield,203.2,2004
970,Gemini Man,173.5,2019
960,George of the Jungle,174.5,1997
719,Geostorm,221.6,2017
599,Get Out,255.4,2017
683,Get Smart,230.7,2008
516,G-Force,292.8,2009
211,Ghost,505.8,1990
999,Ghost in the Shell,169.8,2017
688,Ghost Rider,228.7,2007
511,Ghostbusters,295.7,1984
687,Ghostbusters,229.1,2016
747,Ghostbusters II,215.4,1989
246,Gladiator,460.6,2000
623,Glass,247.0,2019
848,Gnomeo & Juliet,194.0,2011
202,Godzilla,525.0,2014
329,Godzilla,379.0,1998
321,Godzilla King of the Monsters,386.6,2019
387,GoldenEye,352.2,1995
350,Gone Girl,369.3,2014
659,Gone in 60 Seconds,237.2,2000
306,Gone with the Wind,402.4,1939
703,Good Will Hunting,225.9,1997
690,Goodbye Mr. Loser,228.1,2015
561,Gran Torino,270.0,2008
115,Gravity,723.2,2013
309,Grease,397.0,1978
437,Green Book,326.8,2018
725,Green Lantern,219.9,2011
557,Grown Ups,271.4,2010
624,Grown Ups 2,247.0,2013
100,Guardians of the Galaxy,772.8,2014
75,Guardians of the Galaxy Vol. 2,863.8,2017
658,Gulliver's Travels,237.4,2010
920,Hacksaw Ridge,180.5,2016
802,Hairspray,203.6,2007
598,Halloween,255.5,2018
148,Hancock,629.4,2008
390,Hannibal,351.7,2001
702,Hansel & Gretel Witch Hunters,226.3,2013
324,Happy Feet,384.3,2006
68,Harry Potter and the Chamber of Secrets,879.5,2002
48,Harry Potter and the Deathly Hallows Part 1,976.9,2010
13,Harry Potter and the Deathly Hallows Part 2,1341.9,2011
62,Harry Potter and the Goblet of Fire,896.3,2005
59,Harry Potter and the Half-Blood Prince,934.3,2009
57,Harry Potter and the Order of the Phoenix,942.0,2007
89,Harry Potter and the Prisoner of Azkaban,796.1,2004
47,Harry Potter and the Sorcerer's Stone,978.1,2001
872,Heat,187.4,1995
355,Hello Mr. Billionaire,367.0,2018
608,Hercules,252.7,1997
638,Hercules,244.8,2014
943,Hero,177.4,2002
928,He's Just Not That Into You,178.9,2009
664,Hidden Figures,236.0,2016
607,High School Musical 3,252.9,2008
345,Hitch,371.6,2005
860,Hollow Man,190.2,2000
322,Home,386.0,2015
230,Home Alone,477.1,1990
360,Home Alone 2 Lost in New York,365.2,1992
715,Honey I Shrunk the Kids,222.7,1989
492,Hook,300.9,1991
891,Hop,184.0,2011
778,Horrible Bosses,209.8,2011
503,Horton Hears a Who!,298.6,2008
912,Hot Shots!,181.1,1991
373,Hotel Transylvania,358.4,2011
233,Hotel Transylvania 2,474.8,2015
199,Hotel Transylvania 3 Summer Vacation,528.6,2018
